FID,ROWTYPE,LANDMARKTY,TYPEDESC,LANDMARKNA,LANDMARKWE,LANDMARKPH,ADDRKEY,STNO,STNAME,SUFFIX,POSTDIR,STSUB,OWNERSHIP,CITY,MAPID,MSLINK,CENT_X,CENT_Y,COMPTYPE,UNITID,COMPKEY,GRIDKEY,SERVSTAT,ROOMID,ROOMKEY,GISKEY,WEB_DESC,WEB_PIC,PARENTKEY,PARENTDESC,PARENTID,CENT_X_385,CENT_Y_385
1,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT W LAUGHTON HEIGHTS,,,154306,1519,SHERWAY,DR, , ,CITY OF MISSISSAUGA - PARKS,MISSISSAUGA,0,417474,615416.67,4828802.19,A,P-047-TNS-1,417474,0,OPEN,,0,417474,,,417468,LAUGHTON HEIGHTS,P-047,-8857683.78152321,5404248.77106812
2,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT 1ST FROM SCHOOL PORT CREDIT SECONDARY (9-12) (PS),,,4678,70,MINEOLA,RD,E, ,PEEL SCHOOL BOARD,MISSISSAUGA,0,2027441,614101.19,4824349.8,A,S-084-TNS-7,2027441,0,OPEN,,0,2027441,,,420028,PORT CREDIT SECONDARY (9-12) (PS),S-084,-8859602.07528231,5398120.87402983
3,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT 2ND FROM SCHOOL PORT CREDIT SECONDARY (9-12) (PS),,,4678,70,MINEOLA,RD,E, ,PEEL SCHOOL BOARD,MISSISSAUGA,0,2027440,614121.27,4824364.02,A,S-084-TNS-8,2027440,0,OPEN,,0,2027440,,,420028,PORT CREDIT SECONDARY (9-12) (PS),S-084,-8859574.07224947,5398140.066302
4,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT 3RD FROM SCHOOL PORT CREDIT SECONDARY (9-12) (PS),,,4678,70,MINEOLA,RD,E, ,PEEL SCHOOL BOARD,MISSISSAUGA,0,2027439,614125.42,4824388.93,A,S-084-TNS-9,2027439,0,OPEN,,0,2027439,,,420028,PORT CREDIT SECONDARY (9-12) (PS),S-084,-8859567.77003611,5398174.41591271
5,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT 4TH FROM SCHOOL PORT CREDIT SECONDARY (9-12) (PS),,,4678,70,MINEOLA,RD,E, ,PEEL SCHOOL BOARD,MISSISSAUGA,0,2027438,614147.31,4824406.14,A,S-084-TNS-10,2027438,0,OPEN,,0,2027438,,,420028,PORT CREDIT SECONDARY (9-12) (PS),S-084,-8859537.20253961,5398197.70040851
6,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT 3 W CENTRAL MISSISSAUGA VALLEY,,,30886,1275,MISSISSAUGA VALLEY,BLVD, , ,CITY OF MISSISSAUGA - PARKS,MISSISSAUGA,0,417834,611178.73,4827889.84,A,P-096-TNS-2,417834,0,OPEN,,0,417834,,,417807,MISSISSAUGA VALLEY,P-096,-8863548.3649309,5403085.45896293
7,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT W GULLEDEN PARK,,,36847,1500,GULLEDEN,DR, , ,CITY OF MISSISSAUGA - PARKS,MISSISSAUGA,0,417540,613126.12,4830689.28,A,P-055-TNS-1,417540,0,OPEN,,0,417540,,,417531,GULLEDEN PARK,P-055,-8860798.28008743,5406914.48559565
8,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT S BROOKMEDE PARK,,,49249,2254,COUNCIL RING,RD, , ,CITY OF MISSISSAUGA - PARKS,MISSISSAUGA,0,417714,607083.04,4821315.29,A,P-078-TNS-1,417714,0,OPEN,,0,417714,,,417708,BROOKMEDE PARK,P-078,-8869339.89437809,5394085.17924153
9,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT E LAUGHTON HEIGHTS,,,154306,1519,SHERWAY,DR, , ,CITY OF MISSISSAUGA - PARKS,MISSISSAUGA,0,417475,615431.05,4828797.47,A,P-047-TNS-2,417475,0,OPEN,,0,417475,,,417468,LAUGHTON HEIGHTS,P-047,-8857664.06524984,5404241.89712554
10,D,TNSPUL,TENNIS PUBLIC LIT,TENNIS PUBLIC LIT W CENTURY CITY,,,21900,933,FOCAL,RD, , ,CITY OF MISSISSAUGA - PARKS,MISSISSAUGA,0,418983,606801.23,4827325.75,A,P-336-TNS-1,418983,0,OPEN,,0,418983,,,418975,CENTURY CITY,P-336,-8869596.29315179,5402403.43073956
