Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,669,0,21,266.4408332914799,2.3761789999809935,1551.8863390000206,11.0,11.114256194342829,0.0,21,130,330,590,1000,1200,1400,1500,1600,1600,1600
GET,/api/locations/all,527,0,4100.0,4970.35576680645,16.20751000001519,12983.411163999988,300195.0,8.75517640421326,0.0,4100,9300,11000,11000,11000,12000,12000,12000,13000,13000,13000
GET,/api/locations/districts?name=DISTRICT,110,0,22,428.81488743636356,6.571374000003516,2720.136623000002,3.0,1.8274561754524832,0.0,22,85,500,950,2000,2200,2600,2600,2700,2700,2700
GET,/api/locations/districts?name=Etobicoke%20York,106,0,42,481.4058097547171,5.965142999997397,2849.590737999989,3.0,1.7610032236178474,0.0,43,170,580,850,2000,2200,2600,2700,2800,2800,2800
GET,/api/locations/districts?name=North%20York,96,0,29,384.37467117708223,6.023829000014302,2795.146996999989,3.0,1.594870844031258,0.0,31,180,420,580,1900,2100,2600,2800,2800,2800,2800
GET,/api/locations/districts?name=Scarborough,115,0,22,429.1515582000005,6.31592700000283,2890.481952000016,3.0,1.910522365245778,0.0,22,86,280,1000,1800,2100,2200,2700,2900,2900,2900
GET,/api/locations/districts?name=Toronto%20East%20York,108,0,16,383.9224109444456,6.107233999983919,2725.500961000023,3.0,1.7942296995351652,0.0,16,74,390,630,2000,2200,2400,2600,2700,2700,2700
GET,/api/locations/districts?name=Waterfront,109,0,42,534.0976017889926,5.841270000018994,2811.200450000001,3.0,1.8108429374938242,0.0,42,160,600,1300,2100,2300,2800,2800,2800,2800,2800
GET,/api/locations/parks/?name=AGINCOURT%20PARK,5,0,39,214.1392314000086,6.685935000007248,889.402629000017,2341.0,0.08306618979329469,0.0,39,130,130,890,890,890,890,890,890,890,890
GET,/api/locations/parks/?name=ALAMOSA%20PARK,5,0,40,291.82546979999415,3.4241040000040357,1028.2378349999988,1408.0,0.08306618979329469,0.0,40,380,380,1000,1000,1000,1000,1000,1000,1000,1000
GET,/api/locations/parks/?name=ALBION%20GARDENS%20PARK,6,0,90,457.1512751666707,3.7717140000097515,1166.6093799999828,1487.0,0.09967942775195363,0.0,390,390,1000,1000,1200,1200,1200,1200,1200,1200,1200
GET,/api/locations/parks/?name=AMESBURY%20PARK,5,0,4,149.46583600000167,2.891857000008713,731.3891900000158,960.0,0.08306618979329469,0.0,4,5,5,730,730,730,730,730,730,730,730
GET,/api/locations/parks/?name=ANCASTER%20PARK,3,0,290.0,482.3778133333292,41.01191300000551,1113.3753780000006,1426.0,0.04983971387597681,0.0,290,290,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=ANGELA%20JAMES%20ARENA%20-%20Building%20Grounds,2,0,900.0724999999932,1011.4006624999945,900.0724999999932,1122.7288249999958,2045.0,0.03322647591731787,0.0,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100
GET,/api/locations/parks/?name=ANTIBES%20COMMUNITY%20CENTRE%20-%20Building%20Grounds,3,0,85,533.9924046666624,25.979755999998133,1490.5409339999949,479.0,0.04983971387597681,0.0,85,85,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/api/locations/parks/?name=BALMORAL%20PARK,2,0,453.81304800000066,540.6471160000024,453.81304800000066,627.4811840000041,1435.0,0.03322647591731787,0.0,630,630,630,630,630,630,630,630,630,630,630
GET,/api/locations/parks/?name=BANBURY%20PARK,4,0,71,434.5440457499947,9.671414999985473,853.1788930000062,1882.0,0.06645295183463575,0.0,800,800,850,850,850,850,850,850,850,850,850
GET,/api/locations/parks/?name=BAYCREST%20PARK,6,0,39,231.87043533332977,5.678498999998283,1100.857110999982,954.0,0.09967942775195363,0.0,74,74,160,160,1100,1100,1100,1100,1100,1100,1100
